loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_plx
1,11 Com b,11 Com,b,2,1,Radial Velocity,2007,0,326.03,1.29,12.1,1.08,6165.6,19.4,Msini,0.231,,,,G8 III,4742,19,2.7,2.243,93.1846,10.7104
2,11 UMi b,11 UMi,b,1,1,Radial Velocity,2009,0,516.21997,1.53,12.3,1.09,4684.8142,14.74,Msini,0.08,,,,K4 III,4213,29.79,2.78,2.43,125.321,7.95388
3,14 And b,14 And,b,1,1,Radial Velocity,2008,0,185.84,0.83,12.9,1.15,1525.5,4.8,Msini,0,,,,K0 III,4813,11,2.2,1.763,75.4392,13.2289
4,14 Her b,14 Her,b,1,2,Radial Velocity,2002,0,1773.40002,2.93,12.9,1.15,1481.0878,4.66,Msini,0.37,,,,K0 V,5338,0.93,0.9,-0.153,17.9323,55.7363
5,16 Cyg B b,16 Cyg B,b,3,1,Radial Velocity,1996,0,798.5,1.66,13.5,1.2,565.7374,1.78,Msini,0.68,,,,G3 V,5750,1.13,1.08,0.097,21.1397,47.2754
6,17 Sco b,17 Sco,b,1,1,Radial Velocity,2020,0,578.38,1.45,12.9,1.15,1373.01872,4.32,Msini,0.06,,,,K3 III,4157,25.92,1.22,2.254,124.953,7.9805
7,18 Del b,18 Del,b,2,1,Radial Velocity,2008,0,993.3,2.6,12.5,1.11,3273.5,10.3,Msini,0.08,,,,G6 III,4979,8.5,2.3,1.602,76.222,13.0922
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,Imaging,2008,0,,330,18.647,1.664,3000,8,Mass,,,1700,,K7 V,4060,1.31,0.85,-0.37,139.135,7.15949
9,24 Boo b,24 Boo,b,1,1,Radial Velocity,2018,0,30.3506,0.19,13.9,1.24,289.2253,0.91,Msini,0.042,,,,G3 IV,4893,10.64,0.99,1.774,95.9863,10.39
10,24 Sex b,24 Sex,b,1,2,Radial Velocity,2010,0,452.8,1.333,13.4,1.19,632.46,1.99,Msini,0.09,,,,K0 IV,5098,4.9,1.54,1.164,72.0691,13.8488
11,24 Sex c,24 Sex,c,1,2,Radial Velocity,2010,0,883,2.08,13.9,1.24,273.32,0.86,Msini,0.29,,,,K0 IV,5098,4.9,1.54,1.164,72.0691,13.8488
12,2M0437 b,2MASS J04372171+2651014,b,1,1,Imaging,2021,0,,118,13,1.16,1271.31363,4,Mass,,,1450,,M V,3100,0.84,0.17,-1.164,128.484,7.75524
13,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,Imaging,2013,0,,84,12.3,1.1,4131.79,13,Mass,,,,,M5.5/M6,,,0.19,,47.2,
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,Imaging,2013,0,,52,11.209,1,7786.5,24.5,Mass,,,1600,,M3.5 V,3530,0.37,0.4,-1.72,33.8281,29.5326
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,Imaging,2015,0,,156,16.141,1.44,4417.837,13.9,Mass,,,,,M6,3064,0.28,0.11,-2.23,40.0896412,24.9440995
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,Imaging,2010,0,,15,12.6,1.13,2383.6,7.5,Mass,,,,,M8.5,2936,0.23,0.02,-2.444,120.423987,8.3039935
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,Imaging,2004,0,,55,12.9,1.15,1589.15,5,Mass,,,1250,,M8,2825,0.22,0.02,-2.561,64.308,15.5242
18,2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,1,Eclipse Timing Variations,2015,0,416,0.92,13.4,1.2,603.877,1.9,Mass,,,,,,10868,0.34,0.48,0.168,396.332,2.49522
19,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,b,1,1,Imaging,2009,0,7336.5,,10.31,0.92,6657.48,20.95,Mass,0.26,,2075,46.2,M8.5,2300,0.12,0.08,-3.48,33.1156898,30.1971665
20,2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,Imaging,2016,0,,230,12.3,1.1,3972.875,12.5,Mass,,,,,K7 V,4045,0.64,0.6,-1.021,69.5737,14.3444
21,30 Ari B b,30 Ari B,b,4,1,Radial Velocity,2009,0,335.10001,0.99,12.3,1.1,4392.4106,13.82,Msini,0.29,,,,F6 V,6331,1.41,1.93,0.381,44.657,22.3641
22,4 UMa b,4 UMa,b,1,1,Radial Velocity,2006,0,269.3,0.87,12.7,1.13,2256.5,7.1,Msini,0.432,,,,K1 III,4415,18.11,1.23,2.062,73.4603,13.5901
23,42 Dra b,42 Dra,b,2,1,Radial Velocity,2008,0,479.1,1.19,13,1.16,1233.13,3.88,Msini,0.38,,,,K1.5 III,4200,22.03,0.98,2.155,90.6545,11.0061
24,47 UMa b,47 UMa,b,1,3,Radial Velocity,1996,0,1078,2.1,13.2,1.18,804.08,2.53,Msini,0.032,,,,G0 V,5872,1.21,1.06,0.198,13.7967,72.4528
25,47 UMa c,47 UMa,c,1,3,Radial Velocity,2001,0,2391,3.6,14.2,1.27,171.621,0.54,Msini,0.098,,,,G1 V,5872,1.21,1.06,0.198,13.7967,72.4528
26,47 UMa d,47 UMa,d,1,3,Radial Velocity,2009,0,14002,11.6,13.5,1.2,521.22,1.64,Msini,0.16,,,,G0V,5872,1.21,1.06,0.198,13.7967,72.4528
27,51 Eri b,51 Eri,b,3,1,Imaging,2015,0,11688,13.2,13.4,1.19,635.66,2,Mass,0.45,,700,133,F0 IV,7295,1.49,1.75,0.85,29.7575,33.577
28,51 Peg b,51 Peg,b,1,1,Radial Velocity,1995,0,4.230785,0.0527,14.3,1.27,146.2018,0.46,Mass,0.013,,,80,G5V,5758,1.18,1.03,0.136,15.4614,64.6488
29,55 Cnc b,55 Cnc,b,2,5,Radial Velocity,1996,0,14.6516,0.1134,13.9,1.24,263.9785,0.8306,Mass,0,,700,89.73,K0 IV-V,5172,0.94,0.91,-0.197,12.5855,79.4274
30,55 Cnc c,55 Cnc,c,2,5,Radial Velocity,2004,0,44.3989,0.2373,8.51,0.76,54.4738,0.1714,Mass,0.03,,,89.73,G8V,5172,0.94,0.91,-0.197,12.5855,79.4274
31,55 Cnc d,55 Cnc,d,2,5,Radial Velocity,2002,0,5574.2,5.957,13,1.16,1232.493,3.878,Mass,0.13,,,89.73,G8 V,5172,0.94,0.91,-0.197,12.5855,79.4274
32,55 Cnc e,55 Cnc,e,2,5,Radial Velocity,2004,0,0.7365474,0.01544,1.875,0.167,7.99,0.02514,Mass,0.05,,1958,83.59,G8 V,5172,0.94,0.91,-0.197,12.5855,79.4274
33,55 Cnc f,55 Cnc,f,2,5,Radial Velocity,2007,0,259.88,0.7708,7.59,0.677,44.812,0.141,Mass,0.08,,,89.73,G8V,5172,0.94,0.91,-0.197,12.5855,79.4274
34,6 Lyn b,6 Lyn,b,1,1,Radial Velocity,2008,0,934.3,2.11,13.4,1.19,638.8383,2.01,Msini,0.073,,,,K0 IV,4938,5.2,1.44,1.176,54.6599,18.2668
35,61 Vir b,61 Vir,b,1,3,Radial Velocity,2009,0,4.215,0.050201,2.11,0.188,5.1,0.016,Msini,0.12,,,,G5 V,5577,0.96,0.94,-0.095,8.50332,117.573
36,61 Vir c,61 Vir,c,1,3,Radial Velocity,2009,0,38.021,0.2175,4.46,0.398,18.2,0.057,Msini,0.14,,,,G5 V,5577,0.96,0.94,-0.095,8.50332,117.573
37,61 Vir d,61 Vir,d,1,3,Radial Velocity,2009,0,123.01,0.476,5.11,0.456,22.9,0.072,Msini,0.35,,,,G5 V,5577,0.96,0.94,-0.095,8.50332,117.573
38,7 CMa b,7 CMa,b,1,2,Radial Velocity,2011,0,735.1,1.758,13.4,1.2,587.9855,1.85,Msin(i)/sin(i),0.06,,,90,K1 III,4826,4.87,1.34,1.063,19.8101,50.4571
39,7 CMa c,7 CMa,c,1,2,Radial Velocity,2019,0,996,2.153,13.9,1.24,276.5121,0.87,Msin(i)/sin(i),0.08,,,90,K1III(+M),4826,4.87,1.34,1.063,19.8101,50.4571
40,70 Vir b,70 Vir,b,1,1,Radial Velocity,1996,0,116.688,0.481,12.6,1.13,2380.45,7.49,Mass,0.3988,,,,G5V,5495,1.89,1.09,0.451,17.9011,55.8347
41,75 Cet b,75 Cet,b,2,1,Radial Velocity,2012,0,691.9,2.1,13.1,1.17,953.49,3,Msini,0.117,,,,G3 III,4846,10.5,2.49,1.73,82.9613,12.0264
42,8 UMi b,8 UMi,b,1,1,Radial Velocity,2015,0,93.4,0.49,13.6,1.22,416.3573,1.31,Msini,0.06,,,,K0,4847,10.3,1.44,1.725,162.552,6.12304
43,81 Cet b,81 Cet,b,1,1,Radial Velocity,2008,0,952.7,2.5,12.8,1.14,1684.4,5.3,Msini,0.206,,,,G5 III,4785,11,2.4,1.778,101.26,9.84895
44,91 Aqr b,91 Aqr,b,3,1,Radial Velocity,2013,0,181.4,0.7,13.1,1.17,1017,3.2,Msini,0.027,,,,K0 III,4665,11,1.4,1.692,44.0304,22.6884
45,AB Pic b,AB Pic,b,1,1,Imaging,2005,0,,260,12.3,1.1,4290.5,13.5,Mass,,,,,K2 V,5285,1,0.9,-0.226,50.0475,19.9521
46,AU Mic b,AU Mic,b,1,2,Transit,2020,0,8.463,0.0645,4.07,0.363,17,0.05349,Mass,0,,593,89.5,M1,3700,0.75,0.5,-1.046,9.7221,102.829
47,AU Mic c,AU Mic,c,1,2,Transit,2021,0,18.859019,0.1101,3.24,0.289,13.6,0.04279,Mass,0,,454,89,M1,3700,0.75,0.5,-1.065,9.7221,102.829
48,BD+03 2562 b,BD+03 2562,b,1,1,Radial Velocity,2017,0,481.9,1.3,12.7,1.13,2034.112,6.4,Msini,0.2,,,,,4095,32.35,1.14,2.7,1070.63,0.903403
